N1_후보풀_전량랭킹_방법검증_최종아님
rank,word,reading,편중도,상위장르,일반빈도zipf,tanos_tag,note
90,勤まる,つとまる,2.534,문학,1.82,N1,문학7회/2문서(z+2.53) 논설·행정9회/6문서(z+2.17); 일반빈도낮음→장르부상
91,残高,ざんだか,2.503,행정백서,3.56,N1,행정백서93회/18문서(z+2.50) 논설·행정252회/21문서(z+1.99) 학술7회/2문서(z+0.35); 일반빈도낮음→장르부상
92,基金,ききん,2.494,논설·행정,3.81,N1,논설·행정942회/24문서(z+2.49) 법률46회/4문서(z+0.95) 학술6회/4문서(z-0.19) 행정백서4회/3문서(z-0.34); 일반빈도낮음→장르부상
93,協定,きょうてい,2.492,논설·행정,4.14,N1,논설·행정2004회/24문서(z+2.49) 행정백서43회/11문서(z+0.89) 학술40회/6문서(z+0.65) 법률18회/6문서(z-0.18)
94,交える,まじえる,2.491,논설·행정,2.52,N1,논설·행정48회/20문서(z+2.49) 행정백서3회/3문서(z+1.71); 일반빈도낮음→장르부상
95,担う,になう,2.485,논설·행정,3.84,N1,논설·행정995회/24문서(z+2.48) 학술42회/24문서(z+1.19) 행정백서11회/8문서(z+0.38) 법률4회/2문서(z-0.73); 일반빈도낮음→장르부상
96,保障,ほしょう,2.479,논설·행정,4.52,N1,논설·행정4719회/24문서(z+2.48) 학술182회/13문서(z+1.12) 행정백서58회/24문서(z+0.46) 법률17회/5문서(z-0.81)
97,協議,きょうぎ,2.476,논설·행정,4.23,N1,논설·행정2413회/24문서(z+2.48) 법률155회/12문서(z+1.12) 행정백서12회/4문서(z-0.24) 학술8회/4문서(z-0.69)
98,口頭,こうとう,2.452,법률,3.42,N1,법률175회/9문서(z+2.45) 논설·행정59회/12문서(z+1.23); 일반빈도낮음→장르부상
99,推進,すいしん,2.449,논설·행정,4.5,N1,논설·행정4310회/24문서(z+2.45) 행정백서96회/33문서(z+0.88) 학술43회/19문서(z+0.09) 법률27회/7문서(z-0.47)
100,復興,ふっこう,2.441,논설·행정,4.27,N1,논설·행정2505회/24문서(z+2.44) 학술6회/5문서(z-0.97) 행정백서4회/3문서(z-1.15)
101,理論,りろん,2.439,학술,4.56,N1,학술1684회/99문서(z+2.44) 논설·행정113회/16문서(z-0.34) 행정백서28회/9문서(z-0.43) 문학4회/2문서(z-2.51)
102,滞る,とどこおる,2.428,논설·행정,2.56,N1,논설·행정48회/18문서(z+2.43); 일반빈도낮음→장르부상
103,責務,せきむ,2.425,논설·행정,3.42,N1,논설·행정346회/24문서(z+2.42) 학술11회/4문서(z+0.92) 법률5회/5문서(z+0.07); 일반빈도낮음→장르부상
104,分子,ぶんし,2.405,학술,3.97,N1,학술454회/34문서(z+2.40) 논설·행정31회/10문서(z-0.36) 행정백서6회/4문서(z-0.64); 일반빈도낮음→장르부상
105,決算,けっさん,2.401,논설·행정,3.81,N1,논설·행정821회/24문서(z+2.40) 행정백서11회/6문서(z+0.43) 법률19회/3문서(z+0.36); 일반빈도낮음→장르부상
106,弱まる,よわまる,2.389,행정백서,2.77,N1,행정백서13회/6문서(z+2.39) 논설·행정19회/12문서(z+1.47) 학술4회/4문서(z+1.27); 일반빈도낮음→장르부상
107,打ち切る,うちきる,2.386,논설·행정,2.86,N1,논설·행정90회/18문서(z+2.39) 학술3회/2문서(z+0.91); 일반빈도낮음→장르부상
108,手数,てすう,2.36,법률,3.01,N1,법률94회/9문서(z+2.36) 논설·행정121회/16문서(z+2.04) 문학11회/3문서(z+0.80); 일반빈도낮음→장르부상
109,船舶,せんぱく,2.357,논설·행정,3.47,N1,논설·행정351회/20문서(z+2.36) 법률41회/8문서(z+1.40) 학술7회/2문서(z+0.50); 일반빈도낮음→장르부상
110,確保,かくほ,2.353,논설·행정,4.7,N1,논설·행정5930회/24문서(z+2.35) 행정백서130회/39문서(z+0.76) 법률165회/13문서(z+0.44) 학술32회/15문서(z-0.47)
111,誤る,あやまる,2.347,논설·행정,3.04,N1,논설·행정129회/22문서(z+2.35) 학술25회/14문서(z+2.16) 법률11회/4문서(z+1.18); 일반빈도낮음→장르부상
112,行政,ぎょうせい,2.344,논설·행정,4.52,N1,논설·행정3864회/24문서(z+2.34) 법률593회/14문서(z+1.57) 학술101회/19문서(z+0.68) 행정백서32회/13문서(z+0.00)
113,取り巻く,とりまく,2.327,논설·행정,3.32,N1,논설·행정238회/23문서(z+2.33) 행정백서24회/16문서(z+1.89) 학술9회/4문서(z+0.94); 일반빈도낮음→장르부상
114,政策,せいさく,2.323,논설·행정,4.74,N1,논설·행정6223회/24문서(z+2.32) 행정백서360회/56문서(z+1.46) 학술455회/34문서(z+1.42) 법률9회/4문서(z-1.57)
115,負担,ふたん,2.321,논설·행정,4.58,N1,논설·행정4288회/24문서(z+2.32) 행정백서126회/31문서(z+0.94) 법률201회/11문서(z+0.76) 학술48회/13문서(z+0.03)
116,関税,かんぜい,2.317,논설·행정,3.75,N1,논설·행정631회/20문서(z+2.32) 행정백서76회/7문서(z+2.02) 학술8회/3문서(z+0.12); 일반빈도낮음→장르부상
117,投資,とうし,2.316,행정백서,4.67,N1,행정백서938회/44문서(z+2.32) 논설·행정2519회/24문서(z+1.82) 학술100회/17문서(z+0.42) 법률104회/6문서(z+0.17)
118,不可欠,ふかけつ,2.314,논설·행정,3.79,N1,논설·행정689회/24문서(z+2.31) 학술33회/26문서(z+1.10) 행정백서21회/18문서(z+0.96) 법률3회/2문서(z-0.84); 일반빈도낮음→장르부상
119,如何,いかが,2.311,논설·행정,3.96,N1,논설·행정2490회/24문서(z+2.31) 법률6회/2문서(z-1.24) 행정백서3회/2문서(z-1.51) 문학6회/3문서(z-1.60) 학술3회/2문서(z-1.62); 일반빈도낮음→장르부상
120,事業,じぎょう,2.299,논설·행정,5.08,N1,논설·행정13112회/24문서(z+2.30) 법률1660회/13문서(z+1.40) 행정백서229회/43문서(z+0.52) 학술75회/19문서(z-0.48) 문학5회/2문서(z-2.98)
121,簡潔,かんけつ,2.294,논설·행정,3.58,N1,논설·행정412회/21문서(z+2.29) 학술7회/7문서(z+0.31); 일반빈도낮음→장르부상
122,放り出す,ほうりだす,2.284,문학,2.38,N1,문학12회/4문서(z+2.28); 일반빈도낮음→장르부상
123,草臥れる,くたびれる,2.284,문학,0.0,N1,문학5회/3문서(z+2.28); 일반빈도낮음→장르부상
124,地方,ちほう,2.28,논설·행정,4.9,N1,논설·행정8434회/24문서(z+2.28) 법률1122회/14문서(z+1.41) 행정백서57회/17문서(z-0.23) 학술39회/16문서(z-0.66) 문학7회/3문서(z-2.43)
125,確り,しっかり,2.274,논설·행정,1.99,N1,논설·행정10281회/24문서(z+2.27) 행정백서5회/2문서(z-2.24) 문학11회/4문서(z-2.25); 일반빈도낮음→장르부상
126,依然,いぜん,2.265,행정백서,3.38,N1,행정백서45회/26문서(z+2.26) 논설·행정179회/23문서(z+2.04) 학술12회/10문서(z+1.05) 문학13회/3문서(z+0.63); 일반빈도낮음→장르부상
127,民主,みんしゅ,2.253,논설·행정,4.43,N1,논설·행정2745회/24문서(z+2.25) 학술270회/18문서(z+1.56) 법률6회/3문서(z-1.37)
128,復旧,ふっきゅう,2.252,논설·행정,4.03,N1,논설·행정1091회/23문서(z+2.25)
129,比率,ひりつ,2.251,행정백서,4.08,N1,행정백서221회/41문서(z+2.25) 논설·행정359회/22문서(z+1.42) 학술22회/11문서(z+0.31)
130,危ぶむ,あやぶむ,2.239,논설·행정,2.0,N1,논설·행정10회/10문서(z+2.24); 일반빈도낮음→장르부상
131,弛む,たゆむ,2.239,논설·행정,1.23,N1,논설·행정10회/9문서(z+2.24); 일반빈도낮음→장르부상
132,所定,しょてい,2.236,행정백서,3.46,N1,행정백서52회/12문서(z+2.24) 논설·행정36회/12문서(z+0.83) 학술3회/3문서(z-0.11); 일반빈도낮음→장르부상
133,臨む,のぞむ,2.236,논설·행정,3.43,N1,논설·행정268회/24문서(z+2.24) 문학5회/4문서(z-0.16); 일반빈도낮음→장르부상
134,条約,じょうやく,2.234,논설·행정,4.11,N1,논설·행정1281회/24문서(z+2.23) 학술269회/13문서(z+2.10) 법률96회/7문서(z+0.98)
135,帯びる,おびる,2.227,문학,2.51,N1,문학15회/3문서(z+2.23) 학술5회/5문서(z+1.88) 논설·행정12회/11문서(z+1.57); 일반빈도낮음→장르부상
136,読み上げる,よみあげる,2.225,논설·행정,2.89,N1,논설·행정76회/20문서(z+2.22); 일반빈도낮음→장르부상
137,詫び,わび,2.221,논설·행정,3.28,N1,논설·행정186회/22문서(z+2.22) 문학12회/2문서(z+0.74); 일반빈도낮음→장르부상
138,振興,しんこう,2.216,논설·행정,3.9,N1,논설·행정768회/24문서(z+2.22) 학술18회/9문서(z+0.46) 법률5회/5문서(z-0.67) 행정백서3회/3문서(z-0.72); 일반빈도낮음→장르부상
